alpha_a alpha_g dim A_ass A_ass_err B_ass B_ass_err A_diameter A_diameter_err B_diameter B_diameter_err A_short A_short_err B_short B_short_err
0.0 2 1 0.014568114089506925 0.0008218067529558661 -0.19496480834926194 0.008044765890595783 3.274105539726616 0.054084226702368766 -5.347642450030674 0.5064399126681957 1.000291717491581 0.011094558646557359 0.0665499365276226 0.10388057698596419
1.0 2 1 0.015118389266970064 0.000865922465874502 -0.22220542851512726 0.008748846046850091 3.6258695840749655 0.0293955314385559 -4.654631322581969 0.27911347340353276 1.1803359263570228 0.01792640800672391 0.541104728319535 0.16981830753248983
2.0 2 1 0.006484291564875228 0.0005488857611769835 -0.08427882597813624 0.005638777038919742 4.498433164160964 0.059434943375625764 -7.668083947110866 0.5539011050902103 1.6107476222347694 0.015561029776302374 -1.0906745221309062 0.14616653128430698
3.0 2 1 0.005466106827455032 0.0004076525716470743 -0.04765686124729009 0.003828663666035232 4.771904992189168 0.0378765607746882 -8.092796764442337 0.3266860601975152 1.7563674416136394 0.01490741830892311 -1.4542181374465608 0.12901045677071346
4.0 2 1 0.0034667015862220683 0.0004008241687698621 -0.010610673000275558 0.0042677999877651935 4.880159229470803 0.08451941213304966 -7.802997062811135 0.7879985867247172 1.82576284866774 0.02293449587606241 -1.536138661333787 0.2159822755713672
5.0 2 1 0.0030443362273918527 0.0004204834108288131 0.0038780564441694364 0.004518283593194345 5.168727049177429 0.0887120654044909 -9.485125924810395 0.8255176237378364 1.9022460700808723 0.018679909962360897 -1.8553264360752608 0.17589863485544013
6.0 2 1 0.0029437432811369496 0.00038385866129909057 0.011637226308085212 0.00412743251967317 5.196242488051142 0.1000650059996958 -9.24611293830044 0.925689666904261 1.9308875020754948 0.022006868451813273 -1.8761187052859787 0.2060357012652551
7.0 2 1 0.0029249741233608705 0.0003588206952017832 0.01662336287327361 0.0038126405750367382 5.154012479759227 0.12182602277283944 -8.38778228763427 1.1314110306804575 1.938679278022081 0.025772887588854296 -1.7804537430441143 0.24200947905280862
8.0 2 1 0.0029426173133944213 0.00039375025047464304 0.019742132734887497 0.004174607154489141 5.035351180430602 0.20311989747121448 -6.915799243351812 1.8820860180358319 1.9126159619221612 0.0381063100168475 -1.3561627997515988 0.3594704028316464
9.0 2 1 0.0026056380162076736 0.0004764402987709923 0.02608206927370614 0.004791686204237366 5.339493266629164 0.13452432121613933 -9.577062377030686 1.236223725384847 1.9436797255183973 0.02098977774716187 -1.573902098126043 0.19477867852444522
10.0 2 1 0.0020143881989070555 0.000360398395460412 0.034588103054082324 0.003920811791263576 5.163378514428054 0.236767135905881 -7.381694674141724 2.329782318976944 1.9541881688804166 0.049679294635134895 -1.4812860822790774 0.49149538272210047
11.0 2 1 0.002862116686857758 0.00041248556377578715 0.025977159084797828 0.0038719780743554665 5.5133820810842185 0.0844438564049852 -10.679909296771795 0.730000030681076 2.013358263260775 0.02504129295058079 -2.042595498731347 0.21724998785492394
12.0 2 1 0.001598895571977893 0.0005653715003460477 0.04218559494884123 0.006456433406190625 4.9050918197172475 0.22429400300530727 -4.543248214435352 2.1974575934183505 1.8740872795157697 0.02856057508943113 -0.5753831780930503 0.2841280376111336
13.0 2 1 0.0026881835800075496 0.0003986701465276549 0.030245716774989894 0.0037711706869778473 5.239321949694907 0.09761243980223525 -8.065737474627888 0.8445986986633425 1.9789881300342695 0.027935985840201846 -1.6351402375149888 0.2423640315418714
14.0 2 1 0.0021918514179427866 0.00044404500641550637 0.03767320950210283 0.004844147895799099 5.217408785750087 0.13340195790628673 -7.5760225972639175 1.2975903757447764 1.9473858264151387 0.024322933034484462 -1.2349064219297476 0.24253918539322813
15.0 2 1 0.0012984241289361088 0.00040533119768264314 0.04828793018261738 0.004742941423444399 5.315068627496285 0.15806357404045415 -8.625573324374967 1.5322124946971538 2.016492942477812 0.03067881772306996 -1.8987151672523075 0.3057649583859514
0.0 2 2 0.014668735093756444 0.000796970533267638 -0.1966798385892808 0.008133697310856768 3.3113647172790874 0.04253080978865447 -5.696027065619349 0.40203519387665343 1.0050667928880044 0.010082765049301232 0.023104899310067973 0.09588254727046684
1.0 2 2 0.017053931402906897 0.0009934508520185108 -0.23457934902668048 0.00988588353691982 3.161052217455981 0.0428972322144977 -4.088204279325314 0.4049740267137689 0.9606939481675104 0.013894170959245692 0.598538104167589 0.13147967076798153
2.0 2 2 0.015363573928063772 0.0007045334744036728 -0.22803702446573082 0.007073884698738245 3.480857898552955 0.033458346416726695 -4.489277313577636 0.31805243525475974 1.1649864102060603 0.008330322371978978 0.1788769709944354 0.0791158213509095
3.0 2 2 0.011879212930764117 0.0008708797061077574 -0.16368871761679607 0.008861429431107353 4.121842115350156 0.022611514056896376 -7.257274497598324 0.21261410916749746 1.450955404328134 0.01035417491537278 -0.9315638654186553 0.09778350123573766
