N,N_s,dim,alpha_a
5000,10000,1,0.55
5000,10000,1,0.6
5000,10000,1,0.65
5000,10000,1,0.7
5000,10000,1,0.8
5000,10000,1,0.85
5000,10000,1,0.9
5000,10000,1,0.95
5000,10000,1,1.05
5000,10000,1,1.1
5000,10000,2,0.55
5000,10000,2,0.6
5000,10000,2,0.65
5000,10000,2,0.7
5000,10000,2,0.8
5000,10000,2,0.85
5000,10000,2,0.9
5000,10000,2,0.95
5000,10000,2,1.05
5000,10000,2,1.1
5000,10000,3,0.55
5000,10000,3,0.6
5000,10000,3,0.65
5000,10000,3,0.7
5000,10000,3,0.8
5000,10000,3,0.85
5000,10000,3,0.9
5000,10000,3,0.95
5000,10000,3,1.05
5000,10000,3,1.1
5000,10000,4,0.55
5000,10000,4,0.6
5000,10000,4,0.65
5000,10000,4,0.7
5000,10000,4,0.8
5000,10000,4,0.85
5000,10000,4,0.9
5000,10000,4,0.95
5000,10000,4,1.05
5000,10000,4,1.1
10000,1600,1,0.55
10000,1600,1,0.6
10000,1600,1,0.65
10000,1600,1,0.7
10000,1600,1,0.8
10000,1600,1,0.85
10000,1600,1,0.9
10000,1600,1,0.95
10000,1600,1,1.05
10000,1600,1,1.1
10000,1600,2,0.55
10000,1600,2,0.6
10000,1600,2,0.65
10000,1600,2,0.7
10000,1600,2,0.8
10000,1600,2,0.85
10000,1600,2,0.9
10000,1600,2,0.95
10000,1600,2,1.05
10000,1600,2,1.1
10000,1600,3,0.55
10000,1600,3,0.6
10000,1600,3,0.65
10000,1600,3,0.7
10000,1600,3,0.8
10000,1600,3,0.85
10000,1600,3,0.9
10000,1600,3,0.95
10000,1600,3,1.05
10000,1600,3,1.1
10000,1600,4,0.55
10000,1600,4,0.6
10000,1600,4,0.65
10000,1600,4,0.7
10000,1600,4,0.8
10000,1600,4,0.85
10000,1600,4,0.9
10000,1600,4,0.95
10000,1600,4,1.05
10000,1600,4,1.1
20000,350,1,0.55
20000,350,1,0.6
20000,350,1,0.65
20000,350,1,0.7
20000,350,1,0.8
20000,350,1,0.85
20000,350,1,0.9
20000,350,1,0.95
20000,350,1,1.05
20000,350,1,1.1
20000,350,2,0.55
20000,350,2,0.6
20000,350,2,0.65
20000,350,2,0.7
20000,350,2,0.8
20000,350,2,0.85
20000,350,2,0.9
20000,350,2,0.95
20000,350,2,1.05
20000,350,2,1.1
20000,350,3,0.55
20000,350,3,0.6
20000,350,3,0.65
20000,350,3,0.7
20000,350,3,0.8
20000,350,3,0.85
20000,350,3,0.9
20000,350,3,0.95
20000,350,3,1.05
20000,350,3,1.1
20000,350,4,0.55
20000,350,4,0.6
20000,350,4,0.65
20000,350,4,0.7
20000,350,4,0.8
20000,350,4,0.85
20000,350,4,0.9
20000,350,4,0.95
20000,350,4,1.05
20000,350,4,1.1
40000,250,1,0.55
40000,250,1,0.6
40000,250,1,0.65
40000,250,1,0.7
40000,250,1,0.8
40000,250,1,0.85
40000,250,1,0.9
40000,250,1,0.95
40000,250,1,1.05
40000,250,1,1.1
40000,250,2,0.55
40000,250,2,0.6
40000,250,2,0.65
40000,250,2,0.7
40000,250,2,0.8
40000,250,2,0.85
40000,250,2,0.9
40000,250,2,0.95
40000,250,2,1.05
40000,250,2,1.1
40000,250,3,0.55
40000,250,3,0.6
40000,250,3,0.65
40000,250,3,0.7
40000,250,3,0.8
40000,250,3,0.85
40000,250,3,0.9
40000,250,3,0.95
40000,250,3,1.05
40000,250,3,1.1
40000,250,4,0.55
40000,250,4,0.6
40000,250,4,0.65
40000,250,4,0.7
40000,250,4,0.8
40000,250,4,0.85
40000,250,4,0.9
40000,250,4,0.95
40000,250,4,1.05
40000,250,4,1.1
80000,100,1,0.55
80000,100,1,0.6
80000,100,1,0.65
80000,100,1,0.7
80000,100,1,0.8
80000,100,1,0.85
80000,100,1,0.9
80000,100,1,0.95
80000,100,1,1.05
80000,100,1,1.1
80000,100,2,0.55
80000,100,2,0.6
80000,100,2,0.65
80000,100,2,0.7
80000,100,2,0.8
80000,100,2,0.85
80000,100,2,0.9
80000,100,2,0.95
80000,100,2,1.05
80000,100,2,1.1
80000,100,3,0.55
80000,100,3,0.6
80000,100,3,0.65
80000,100,3,0.7
80000,100,3,0.8
80000,100,3,0.85
80000,100,3,0.9
80000,100,3,0.95
80000,100,3,1.05
80000,100,3,1.1
80000,100,4,0.55
80000,100,4,0.6
80000,100,4,0.65
80000,100,4,0.7
80000,100,4,0.8
80000,100,4,0.85
80000,100,4,0.9
80000,100,4,0.95
80000,100,4,1.05
80000,100,4,1.1
160000,15,1,0.55
160000,15,1,0.6
160000,15,1,0.65
160000,15,1,0.7
160000,15,1,0.8
160000,15,1,0.85
160000,15,1,0.9
160000,15,1,0.95
160000,15,1,1.05
160000,15,1,1.1
160000,15,2,0.55
160000,15,2,0.6
160000,15,2,0.65
160000,15,2,0.7
160000,15,2,0.8
160000,15,2,0.85
160000,15,2,0.9
160000,15,2,0.95
160000,15,2,1.05
160000,15,2,1.1
160000,15,3,0.55
160000,15,3,0.6
160000,15,3,0.65
160000,15,3,0.7
160000,15,3,0.8
160000,15,3,0.85
160000,15,3,0.9
160000,15,3,0.95
160000,15,3,1.05
160000,15,3,1.1
160000,15,4,0.55
160000,15,4,0.6
160000,15,4,0.65
160000,15,4,0.7
160000,15,4,0.8
160000,15,4,0.85
160000,15,4,0.9
160000,15,4,0.95
160000,15,4,1.05
160000,15,4,1.1
320000,7,1,0.55
320000,7,1,0.6
320000,7,1,0.65
320000,7,1,0.7
320000,7,1,0.8
320000,7,1,0.85
320000,7,1,0.9
320000,7,1,0.95
320000,7,1,1.05
320000,7,1,1.1
320000,7,2,0.55
320000,7,2,0.6
320000,7,2,0.65
320000,7,2,0.7
320000,7,2,0.8
320000,7,2,0.85
320000,7,2,0.9
320000,7,2,0.95
320000,7,2,1.05
320000,7,2,1.1
320000,7,3,0.55
320000,7,3,0.6
320000,7,3,0.65
320000,7,3,0.7
320000,7,3,0.8
320000,7,3,0.85
320000,7,3,0.9
320000,7,3,0.95
320000,7,3,1.05
320000,7,3,1.1
320000,7,4,0.55
320000,7,4,0.6
320000,7,4,0.65
320000,7,4,0.7
320000,7,4,0.8
320000,7,4,0.85
320000,7,4,0.9
