,N,dim,alpha_a,alpha_g,m0
0,100000,1,2.0,2.0,2
1,100000,1,3.0,2.0,2
2,100000,1,4.0,2.0,2
3,100000,1,5.0,2.0,2
4,100000,1,2.0,1.0,2
5,100000,1,2.0,2.0,2
6,100000,1,2.0,3.0,2
7,100000,1,2.0,4.0,2
8,100000,1,2.0,5.0,2
9,100000,2,2.0,2.0,2
10,100000,2,3.0,2.0,2
11,100000,2,4.0,2.0,2
12,100000,2,5.0,2.0,2
13,100000,2,2.0,1.0,2
14,100000,2,2.0,2.0,2
15,100000,2,2.0,3.0,2
16,100000,2,2.0,4.0,2
17,100000,2,2.0,5.0,2
18,100000,3,2.0,2.0,2
19,100000,3,3.0,2.0,2
20,100000,3,4.0,2.0,2
21,100000,3,5.0,2.0,2
22,100000,3,2.0,1.0,2
23,100000,3,2.0,2.0,2
24,100000,3,2.0,3.0,2
25,100000,3,2.0,4.0,2
26,100000,3,2.0,5.0,2
27,100000,4,2.0,2.0,2
28,100000,4,3.0,2.0,2
29,100000,4,4.0,2.0,2
30,100000,4,5.0,2.0,2
31,100000,4,2.0,1.0,2
32,100000,4,2.0,2.0,2
33,100000,4,2.0,3.0,2
34,100000,4,2.0,4.0,2
35,100000,4,2.0,5.0,2
