N dim alpha_a alpha_g N_samples
320000 4 0.0 2.0 4
320000 3 1.0 2.0 4
320000 4 3.0 2.0 4
320000 2 5.0 2.0 4
160000 2 5.0 2.0 8
80000 2 5.0 2.0 20
20000 2 6.0 2.0 200
320000 3 6.0 2.0 4
160000 3 7.0 2.0 8
320000 3 7.0 2.0 4
320000 4 8.0 2.0 4
160000 4 8.0 2.0 8
320000 3 8.0 2.0 4
160000 3 8.0 2.0 8
40000 3 8.0 2.0 60
80000 3 8.0 2.0 20
80000 3 9.0 2.0 20
40000 3 9.0 2.0 60
320000 3 9.0 2.0 4
20000 3 9.0 2.0 200
160000 3 9.0 2.0 8
160000 4 9.0 2.0 8
320000 4 9.0 2.0 4
80000 4 10.0 2.0 20
160000 4 10.0 2.0 8
10000 3 10.0 2.0 2000
20000 4 10.0 2.0 200
40000 4 10.0 2.0 60
320000 4 10.0 2.0 4
160000 4 11.0 2.0 8
20000 4 11.0 2.0 200
40000 4 11.0 2.0 60
320000 4 11.0 2.0 4
80000 4 11.0 2.0 20
10000 4 12.0 2.0 2000
80000 4 12.0 2.0 20
320000 4 12.0 2.0 4
5000 3 12.0 2.0 20000
80000 4 13.0 2.0 20
5000 4 13.0 2.0 20000
320000 4 13.0 2.0 4
